# id	file_path	transparent_color_r	g	b
[MAP]
map-world-1-1.txt
[TEXTURES]
0	textures\mario-1.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\items-objects.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# ===============BIG MARIO=============
# idle right
10001	216	243	230	270	0
# walk right
10002	255	243	271	270	0		
10003	295	244	311	270	0
#jumping right
10004	335	244	351	270	0
# idle left
10011	176	243	190	270	0
#walk left
10012	135	243	151	270	0
10013	95	244	111	270	0
#jumping left
10014	55	244	71	270	0
#run right
10041	213	323	232	350	0
10042	253	323	272	350	0
10043	293	324	312	350	0
#run left
10044	174	323	193	350	0
10045	134	323	153	350	0
10046	94	324	113	350	0
#flying right
10061	291	603	315	631	0
10062	331	603	355	631	0
10063	371	603	395	631	0
#flying left
10064	91	603	115	631	0
10065	51	603	75	631	0
10066	11	603	35	631	0
#kick right
10067	252	283	273	310	0
#kick left
10068	133	283	154	310	0
#holding right
10069	331	323	345	350	0
10070	356	323	371	350	0
10071	381	323	396	350	0
#holding left
10072	61	323	75	350	0
10073	35	323	50	350	0
10074	10	323	25	350	0
# die
10099	215	120	231	135	0
# ==============SMALL MARIO==============
#idle small right
10021	217	89	229	104	0
# walk
10022	256	89	271	105	0
# jump right
10023	335	89	351	105	0
# idle small left
10031	177	89	189	104	0
# walk
10032	135	89	150	105	0
#jump left
10033	55	89	71	105	0
# speed run state
#run right
10051	215	169	231	185	0
10052	255	169	271	185	0
#run left
10053	175	169	191	185	0
10054	135	169	151	185	0
#kick right
10055	255	129	271	145	0
#kick left
10056	135	129	151	145	0
#holding right
10057	336	169	350	185	0
10058	376	169	391	185	0
#holding left
10059	56	169	70	185	0
10060	15	169	30	185	0

#=============RACCOON MARIO=============
#idle right
11001	212	443	233	471	0
#idle left
11002	173	443	194	471	0
#walking right
11003	236	443	259	471	0
11004	262	443	284	471	0
#walking left
11005	147	443	170	471	0
11006	122	443	144	471	0	
#run right
11007	211	523	235	551	0
11008	251	523	275	551	0
11009	291	523	315	550	0
#run left
11010	171	523	195	551	0
11011	131	523	155	551	0
11012	91	523	115	550	0
#jumping right
11013	331	443	354	470	0
#jumping left
11014	52	443	75	470	0
#flying right
11015	291	603	315	631	0
11016	331	603	355	631	0
11017	371	603	395	631	0
#flying left
11018	91	603	115	631	0
11019	51	603	75	631	0
11020	11	603	35	631	0
#falling right
11021	291	443	314	470	0
#falling left
11022	92	443	115	470	0
#kick right
11023	247	483	269	511	0
#kick left
11024	137	483	159	511	0
#holding right
11025	322	523	343	551	0
11026	351	523	373	551	0
11027	381	523	404	551	0
#holding left
11028	63	523	84	551	0
11029	33	523	55	551	0
11030	2	523	25	551	0

#============OTHER=============

#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#===========FLOATING BRICK================
#question mark
40001	91	200	107	216	30
40002	108	200	124	216	30
40003	125	200	141	216	30
40004	142	200	158	216	30
#collected
40005	91	217	107	233	30
#=======KOOPAS===========
#small
#walk right
50001	916	129	932	156	10
50002	938	130	954	156	10
#walk left
50003	28	129	44	156	10
50004	6	130	22	156	10
#hide in shell
50005	50	139	66	155	10
				
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#big jumping left
404	10014	100
#big jumping right
405	10004	100
#big falling right
406	10003	100
#big falling left
407	10013	100
#small jumping left
408	10033	100
#small jumping right
409	10023	100
#small falling left
410	10033	100
#small falling right
411	10023	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	50	10022	50
#walk left small
503	10031	50	10032	50
#small run right
504	10051	50	10052	50
#small run left
505	10053	50	10054	50
#big run right
506	10041	50	10042	50	10043	50
#big run left
507	10044	50	10045	50	10046	50
#flying right
508	10061	50	10062	50	10063	50
#flying left
509	10064	50	10065	50	10066	50
#falling while flying right
510	10061	50
#falling while flying left
511	10064	50
#small kick right
512	10055	150
#small kick left
513	10056	150
#big kick right
514	10067	150
#big kick left
515	10068	150
#small holding right
516	10057	100	10058	100
#small holding left
517	10059	100	10060	100
#big holding right
518	10069	100	10070	100	10071	100
#big holding left
519	10072	100	10073	100	10074	100
#small idle when holding right
520	10057	100
#small idle when holding left
521	10059	100
#Big idle when holding right
522	10069	100
#Big idle when holding left
523	10072	100
#======RACCOON MARIO===========
#idle right
10	11001	100
#idle left
11	11002	100
#walking right
12	11001	50	11003	50	11004	50
#walking left
13	11002	50	11005	50	11006	50
#run right
14	11007	50	11008	50	11009	50
#run left
15	11010	50	11011	50	11012	50
#jump right
16	11013	100
#jump left
17	11014	100
#flying right
18	11015	50	11016	50	11017	50
#flying left
19	11018	50	11019	50	11020	50
#falling right
20	11021	50
#falling left
21	11022	50
#falling while flying right
22	11016	50
#falling while flying left
23	11019	50
#kick right
24	11023	150
#kick left
25	11024	150
#holding right
26	11025	100	11026	100	11027	100
#holding left
27	11028	100	11029	100	11030	100
#idle when holding right
28	11025	100
#idle when holding left
29	11028	100
#die
599	10099	100
# ==== BRICK =========
601	20001	100
# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
#===========FLOATING BRICK================
801	40001	100	40002	100	40003	100	40004	100
802	40005	100
#==== KOOPAS =====
#walk right
901	50001	100	50002	100
